Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A yellow Sedan is crossing the road (far) and maintaining lane.,5.79755,38.949072,4.0600000000000005,False,None,0
0,0_scenario_1,A skyblue SUV is crossing the road (far) and maintaining lane.,100000,46.569866,3.54,False,None,0
0,0_scenario_2,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,1.373094,31.534015,0.31999999999999984,False,None,0
0,0_scenario_3,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,3.049441,8.573459,0.40000000000000013,False,None,0
0,0_scenario_4,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,15.089197,10.394795,10.16,False,None,0
0,0_scenario_5,A white SchoolBus is crossing the road (far) and switching lane.,0.974211,10.830676,8.06,False,None,0
0,0_scenario_6,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,3.78695,10.978365,4.18,False,None,0
0,0_scenario_7,A black SchoolBus is crossing the road (near) and maintaining lane.,1.885428,12.272894,4.2,False,None,0
0,0_scenario_8,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,2.077704,8.853002,9.0,False,None,0
0,0_scenario_9,A pedestrian is crossing the road from right to left.,3.38324,8.851833,2.4400000000000004,False,None,0
0,0_scenario_10,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,5.859281,8.849757,1.08,False,None,0
0,0_scenario_11,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,8.62918,6.380741,4.6,False,None,0
1,1_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000,4.238831,4.96,False,None,0
1,1_scenario_1,A red Hatchback is driving from the opposite direction (near) and switching lane.,2.378888,10.488319,2.76,False,None,0
1,1_scenario_2,A pedestrian is crossing the road from right to left.,3.293282,3.707672,9.540000000000001,False,None,0
1,1_scenario_3,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,46.034555,1.406602,7.24,True,pedestrian,6.932370075321378
2,2_scenario_0,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000,16.247986,9.68,False,None,0
2,2_scenario_1,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,0.643389,6.159888,8.2,False,None,0
2,2_scenario_2,A red Jeep is overtaking (near) the ego vehicle and switching lane.,2.941456,5.835293,8.120000000000001,False,None,0
2,2_scenario_3,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,3.17895,3.902946,6.74,False,None,0
2,2_scenario_4,A red Jeep is overtaking (near) the ego vehicle and switching lane.,3.522275,3.918075,5.34,False,None,0
2,2_scenario_5,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,11.268841,4.06,False,None,0
2,2_scenario_6,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,3.676266,12.182849,2.16,False,None,0
2,2_scenario_7,A pink Hatchback is driving from the opposite direction (far) and switching lane.,0.690544,8.242529,10.58,False,None,0
2,2_scenario_8,A pink SchoolBus is crossing the road (near) and switching lane.,1.903599,7.660384,10.459999999999999,False,None,0
2,2_scenario_9,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,2.616834,7.359422,7.279999999999999,False,None,0
2,2_scenario_10,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,3.332927,10.784314,4.9399999999999995,False,None,0
2,2_scenario_11,A white SchoolBus is driving from the opposite direction (far) and switching lane.,3.5885,30.360941,4.08,False,None,0
2,2_scenario_12,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,6.163122,49.662853,2.54,False,None,0
2,2_scenario_13,A skyblue SUV is crossing the road (far) and maintaining lane.,3.302952,41.511637,0.98,False,None,0
2,2_scenario_14,A yellow Sedan is crossing the road (far) and switching lane.,7.205211,61.440905,4.92,False,None,0
2,2_scenario_15,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,2.62721,12.962137,6.84,False,None,0
3,3_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,12.825529,12.25252,2.8400000000000003,False,None,0
3,3_scenario_1,A pink SUV is crossing the road (far) and switching lane.,100000,10.485765,8.68,False,None,0
3,3_scenario_2,A white Jeep is crossing the road (far) and maintaining lane.,9.225961,8.687284,1.92,False,None,0
3,3_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,4.988212,5.3,False,None,0
3,3_scenario_4,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,15.448309,4.479106,6.6000000000000005,False,None,0
3,3_scenario_5,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,1.821845,8.814732,7.9,False,None,0
3,3_scenario_6,A white SchoolBus is driving from the opposite direction (far) and switching lane.,3.163183,21.764356,2.88,False,None,0
3,3_scenario_7,A black SUV is driving from the opposite direction (far) and switching lane.,4.121158,43.377562,5.1,False,None,0
3,3_scenario_8,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,10.210759,65.832316,3.86,False,None,0
3,3_scenario_9,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,0.897037,4.227256,3.06,False,None,0
3,3_scenario_10,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,1.367694,25.45042,0.88,False,None,0
3,3_scenario_11,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,6.425003,6.079126,4.22,False,None,0
4,4_scenario_0,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000,14.214249,5.380000000000001,False,None,0
4,4_scenario_1,A red Hatchback is crossing the road (near) and switching lane.,16.505475,11.224505,1.8800000000000001,False,None,0
4,4_scenario_2,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,7.598479,5.113524,0.45999999999999996,False,None,0
4,4_scenario_3,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,1.446881,5.756508,1.16,False,None,0
4,4_scenario_4,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,5.027412,37.957583,10.3,False,None,0
4,4_scenario_5,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.518646,21.243901,10.46,False,None,0
4,4_scenario_6,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,9.896109,24.202234,3.44,False,None,0
4,4_scenario_7,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,2.844478,12.062218,4.24,False,None,0
4,4_scenario_8,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,0.441801,3.705304,3.64,False,None,0
4,4_scenario_9,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,0.630204,4.182316,4.44,False,None,0
4,4_scenario_10,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.575714,11.945622,2.2600000000000002,False,None,0
4,4_scenario_11,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,3.717133,33.82463,7.0,False,None,0
4,4_scenario_12,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,6.23328,8.553101,7.0600000000000005,False,None,0
5,5_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,100000,4.073597,5.76,False,None,0
5,5_scenario_1,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000,12.280978,3.7600000000000002,False,None,0
5,5_scenario_2,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,1.048512,4.557682,16.5,False,None,0
5,5_scenario_3,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,100000,3.349452,6.1,False,None,0
5,5_scenario_4,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,2.729966,8.716316,11.5,False,None,0
5,5_scenario_5,A pink SUV is driving from the opposite direction (far) and maintaining lane.,3.637641,12.650849,9.72,False,None,0
