Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,100000,50.97601,5.140000000000001,False,None,0
0,0_scenario_1,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,4.454818,48.487446,4.12,False,None,0
0,0_scenario_2,A yellow Sedan is crossing the road (far) and switching lane.,2.605151,34.129355,6.3,False,None,0
0,0_scenario_3,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,3.041317,23.756029,4.16,False,None,0
0,0_scenario_4,A pink Jeep is crossing the road (near) and switching lane.,1.074038,11.239543,7.42,False,None,0
0,0_scenario_5,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,2.570218,19.110384,7.739999999999999,False,None,0
0,0_scenario_6,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,5.856735,27.227866,4.28,False,None,0
0,0_scenario_7,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,0.664553,6.882456,3.9800000000000004,False,None,0
0,0_scenario_8,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.773585,5.934076,8.120000000000001,False,None,0
0,0_scenario_9,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,2.245396,5.965468,5.4399999999999995,False,None,0
0,0_scenario_10,A pedestrian is crossing the road from left to right.,10.098918,5.187843,3.88,False,None,0
0,0_scenario_11,A pink Jeep is crossing the road (near) and switching lane.,0.712486,2.689419,4.4399999999999995,False,None,0
0,0_scenario_12,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.471463,9.785212,2.5,False,None,0
0,0_scenario_13,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,4.305874,5.514956,2.8,False,None,0
0,0_scenario_14,A yellow Sedan is driving from the opposite direction (near) and switching lane.,6.655961,3.251911,1.1199999999999999,False,None,0
1,1_scenario_0,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,100000,100000,2.22,False,None,0
