Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,3.80415,6.34,False,None,0.0
0,0_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.680679,4.613781,10.24,False,None,0.0
0,0_scenario_2,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,3.233211,2.28,False,None,0.0
0,0_scenario_3,A pedestrian is crossing the road from left to right.,1.590931,3.421562,7.96,False,None,0.0
0,0_scenario_4,A pedestrian is crossing the road from left to right.,1.823165,7.309949,2.96,False,None,0.0
0,0_scenario_5,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,100000.0,5.951503,9.68,False,None,0.0
0,0_scenario_6,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.716401,4.472625,4.44,False,None,0.0
0,0_scenario_7,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.549225,5.74012,5.819999999999999,False,None,0.0
0,0_scenario_8,A red SUV is crossing the road (near) and maintaining lane.,2.721224,8.078799,9.16,False,None,0.0
0,0_scenario_9,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,4.108206,7.968591,7.26,False,None,0.0
0,0_scenario_10,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,1.862566,6.478961,6.300000000000001,False,None,0.0
0,0_scenario_11,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.726119,7.074656,7.439999999999999,False,None,0.0
0,0_scenario_12,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,0.580101,4.320114,7.74,False,None,0.0
0,0_scenario_13,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,100000.0,3.994076,4.1,False,None,0.0
0,0_scenario_14,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,12.810826,4.159303,5.26,False,None,0.0
0,0_scenario_15,A yellow SUV is driving from the opposite direction (near) and switching lane.,3.543927,3.47912,2.96,False,None,0.0
0,0_scenario_16_npc_vehicle,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.0,2.51073,5.66,True,npc_vehicle,5.333189965571757
1,1_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,3.90473,3.66,False,None,0.0
1,1_scenario_1,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000.0,5.435597,6.26,False,None,0.0
1,1_scenario_2,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,1.403856,7.031382,5.0,False,None,0.0
1,1_scenario_3,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,1.190404,11.296807,8.66,False,None,0.0
1,1_scenario_4,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,100000.0,3.687367,5.74,False,None,0.0
1,1_scenario_5,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,100000.0,6.076062,2.76,False,None,0.0
1,1_scenario_6,A pedestrian is crossing the road from right to left.,1.307275,2.900034,6.119999999999999,False,None,0.0
1,1_scenario_7_npc_vehicle,A pedestrian is crossing the road from left to right.,0.0,3.302511,1.12,True,npc_vehicle,9.166437957146869
2,2_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,3.824855,4.92,False,None,0.0
2,2_scenario_1,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.50705,5.006539,7.94,False,None,0.0
2,2_scenario_2_npc_vehicle,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,0.0,3.927856,2.68,True,npc_vehicle,3.8784106615072433
3,3_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,4.235341,5.6,False,None,0.0
3,3_scenario_1_npc_vehicle,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,4.045432,5.02,True,npc_vehicle,2.2827795390012997
4,4_scenario_0,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000.0,4.370795,6.0,False,None,0.0
4,4_scenario_1_npc_vehicle,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,3.599519,9.2,True,npc_vehicle,2.5815192990574007
