Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000.0,8.044929,2.58,False,None,0.0
0,0_scenario_1,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,100000.0,8.245474,3.7,False,None,0.0
0,0_scenario_2,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,4.652996,7.183583,11.12,False,None,0.0
0,0_scenario_3,A pink Hatchback is crossing the road (far) and maintaining lane.,1.97312,7.014024,6.24,False,None,0.0
0,0_scenario_4,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,4.683551,7.350438,0.6400000000000001,False,None,0.0
0,0_scenario_5,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.508886,8.032635,8.459999999999999,False,None,0.0
0,0_scenario_6,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,2.544659,13.345646,3.3,False,None,0.0
0,0_scenario_7,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,8.900791,19.338253,2.04,False,None,0.0
0,0_scenario_8,A pink SchoolBus is crossing the road (near) and switching lane.,3.036222,19.515502,0.4600000000000002,False,None,0.0
0,0_scenario_9_npc_vehicle,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,3.798683,11.5,True,npc_vehicle,1.532878172755266
1,1_scenario_0,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000.0,17.710725,3.0,False,None,0.0
1,1_scenario_1,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,4.769928,7.473426,3.3800000000000003,False,None,0.0
1,1_scenario_2,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,0.616206,7.061007,9.64,False,None,0.0
1,1_scenario_3,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.8354,8.642451,1.98,False,None,0.0
1,1_scenario_4,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,8.687077,8.557241,0.52,False,None,0.0
1,1_scenario_5_npc_vehicle,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,5.450021,9.06,True,npc_vehicle,5.309156110902003
2,2_scenario_0,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,15.235504,3.6,False,None,0.0
2,2_scenario_1,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,2.380974,5.11516,4.0600000000000005,False,None,0.0
2,2_scenario_2_npc_vehicle,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,0.0,3.968312,4.96,True,npc_vehicle,1.3296843750133107
