Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink SUV is crossing the road (far) and switching lane.,100000.0,24.125861,2.52,False,None,0.0
0,0_scenario_1,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,3.148401,17.680249,3.58,False,None,0.0
0,0_scenario_2,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,2.75452,29.703158,1.2599999999999998,False,None,0.0
0,0_scenario_3,A black SUV is driving from the opposite direction (far) and switching lane.,3.941386,37.350224,11.74,False,None,0.0
0,0_scenario_4,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,5.410602,8.968656,0.6799999999999999,False,None,0.0
0,0_scenario_5,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,1.81664,9.342519,0.6599999999999999,False,None,0.0
0,0_scenario_6,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.110355,5.115326,6.36,False,None,0.0
0,0_scenario_7,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,2.314086,18.140003,0.6,False,None,0.0
0,0_scenario_8,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,3.952268,32.194021,4.82,False,None,0.0
0,0_scenario_9,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,2.177272,6.78757,8.96,False,None,0.0
0,0_scenario_10,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,2.405029,10.836839,4.640000000000001,False,None,0.0
0,0_scenario_11,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,4.956832,6.866072,3.74,False,None,0.0
0,0_scenario_12,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,1.259264,4.45408,9.32,False,None,0.0
0,0_scenario_13,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.029163,3.647064,5.539999999999999,False,None,0.0
0,0_scenario_14,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,0.688505,8.01433,5.12,False,None,0.0
0,0_scenario_15,A pedestrian is crossing the road from left to right.,8.489887,11.389759,2.42,False,None,0.0
0,0_scenario_16,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,4.820215,11.297777,3.62,False,None,0.0
0,0_scenario_17,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.657223,11.056602,6.3,False,None,0.0
1,1_scenario_0,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000.0,4.157023,2.56,False,None,0.0
1,1_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,1.408997,12.128519,4.5600000000000005,False,None,0.0
1,1_scenario_2,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,1.516489,20.529865,7.36,False,None,0.0
1,1_scenario_3,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,6.938072,18.264361,2.8,False,None,0.0
1,1_scenario_4,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,9.069403,31.982153,0.78,False,None,0.0
1,1_scenario_5,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,2.241641,32.270802,10.0,False,None,0.0
1,1_scenario_6,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,3.378873,9.62873,15.12,False,None,0.0
1,1_scenario_7,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,2.642629,9.153916,1.84,False,None,0.0
1,1_scenario_8,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,4.535139,8.861852,1.0,False,None,0.0
1,1_scenario_9_npc_vehicle,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,2.321894,4.48,True,npc_vehicle,9.12473376828494
2,2_scenario_0,A white BoxTruck is driving from the opposite direction (far) and switching lane.,100000.0,44.071814,2.84,False,None,0.0
2,2_scenario_1,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,100000.0,36.299727,3.3,False,None,0.0
2,2_scenario_2,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,2.87062,11.345573,6.62,False,None,0.0
2,2_scenario_3,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,2.202822,16.188479,5.02,False,None,0.0
2,2_scenario_4,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,4.025031,8.790617,2.9000000000000004,False,None,0.0
2,2_scenario_5,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,1.902855,10.627051,3.2,False,None,0.0
2,2_scenario_6,A pink SUV is driving from the opposite direction (far) and maintaining lane.,1.705508,7.985619,7.6,False,None,0.0
2,2_scenario_7,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,6.755714,10.233018,1.62,False,None,0.0
2,2_scenario_8,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,7.758066,8.007271,5.5,False,None,0.0
2,2_scenario_9,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,11.214343,9.143245,2.72,False,None,0.0
2,2_scenario_10,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,4.362107,9.746815,2.9,False,None,0.0
2,2_scenario_11,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,5.778372,7.707468,1.66,False,None,0.0
2,2_scenario_12,A yellow Sedan is crossing the road (far) and maintaining lane.,0.608654,4.468851,4.0600000000000005,False,None,0.0
2,2_scenario_13,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,1.546146,12.576734,3.96,False,None,0.0
2,2_scenario_14,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,3.560895,12.467816,3.24,False,None,0.0
2,2_scenario_15,A skyblue SUV is crossing the road (far) and maintaining lane.,0.921608,5.752558,1.08,False,None,0.0
2,2_scenario_16,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.881618,4.393128,0.54,False,None,0.0
2,2_scenario_17,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,1.34268,11.379513,7.04,False,None,0.0
3,3_scenario_0,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,100000.0,8.156051,2.68,False,None,0.0
3,3_scenario_1,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.94299,3.326665,4.18,False,None,0.0
