Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,100000,8.40872,8.379999999999999,False,None,0
0,0_scenario_1_npc_vehicle,A red Hatchback is crossing the road (far) and switching lane.,0.682273,3.496981,7.800000000000001,True,npc_vehicle,2.469517133517043
1,1_scenario_0,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,100000,50.245155,2.18,False,None,0
1,1_scenario_1,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000,17.274848,0.6599999999999999,False,None,0
1,1_scenario_2,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,100000,14.796538,6.08,False,None,0
1,1_scenario_3,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,9.531137,3.9000000000000004,False,None,0
1,1_scenario_4_npc_vehicle,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,100000,7.040949,6.62,True,npc_vehicle,7.615920603382116
2,2_scenario_0,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000,50.306395,5.48,False,None,0
2,2_scenario_1,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,13.98982,13.595733,0.6600000000000001,False,None,0
2,2_scenario_2,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,3.282839,19.188101,3.5799999999999996,False,None,0
2,2_scenario_3,A red SUV is overtaking (near) the ego vehicle and maintaining lane.,100000,6.748608,1.1000000000000005,False,None,0
2,2_scenario_4,A pink SchoolBus is crossing the road (near) and switching lane.,100000,6.418994,6.08,False,None,0
2,2_scenario_5,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,10.393631,11.594272,5.7,False,None,0
2,2_scenario_6,A black SUV is crossing the road (near) and switching lane.,4.101636,10.618596,13.26,False,None,0
2,2_scenario_7,A pedestrian is crossing the road from left to right.,3.804039,6.35084,3.94,False,None,0
2,2_scenario_8,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,100000,6.428466,5.859999999999999,False,None,0
2,2_scenario_9,A pedestrian is crossing the road from left to right.,100000,10.54963,3.68,False,None,0
2,2_scenario_10,A pedestrian is crossing the road from left to right.,100000,11.121993,0.0,False,None,0
2,2_scenario_11,A pedestrian is crossing the road from left to right.,100000,11.121993,0.0,False,None,0
2,2_scenario_12,A pedestrian is crossing the road from left to right.,100000,11.121993,0.0,False,None,0
3,3_scenario_0,A pedestrian is crossing the road from left to right.,100000,15.896736,3.42,False,None,0
3,3_scenario_1,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,5.167041,4.140000000000001,False,None,0
3,3_scenario_2,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,100000,2.614484,4.779999999999999,False,None,0
3,3_scenario_3,A red Hatchback is crossing the road (near) and switching lane.,100000,10.560718,6.24,False,None,0
3,3_scenario_4,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,0.725127,7.378163,7.1000000000000005,False,None,0
3,3_scenario_5,A pedestrian is crossing the road from left to right.,100000,11.965302,2.38,False,None,0
3,3_scenario_6,A yellow SchoolBus is driving from the opposite direction (near) and switching lane.,100000,4.304872,1.64,False,None,0
3,3_scenario_7,A pedestrian is crossing the road from right to left.,100000,9.276902,7.32,False,None,0
3,3_scenario_8,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,1.359284,9.94,False,None,0
3,3_scenario_9,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.88217,9.00485,9.62,False,None,0
3,3_scenario_10,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,1.084222,6.349157,7.56,False,None,0
3,3_scenario_11,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.372994,9.128334,3.26,False,None,0
3,3_scenario_12,A pink SchoolBus is crossing the road (near) and switching lane.,100000,15.572769,6.06,False,None,0
3,3_scenario_13,A pedestrian is crossing the road from left to right.,100000,11.423339,6.22,False,None,0
3,3_scenario_14,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,100000,7.416948,1.52,False,None,0
3,3_scenario_15,A yellow Sedan is driving from the opposite direction (near) and switching lane.,1.75541,5.305799,4.42,False,None,0
3,3_scenario_16,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,1.174814,5.185557,6.14,False,None,0
3,3_scenario_17,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,0.835484,5.395724,6.02,False,None,0
4,4_scenario_0,A yellow Hatchback is crossing the road (near) and maintaining lane.,1.031141,11.381184,7.880000000000001,False,None,0
4,4_scenario_1,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,0.646867,12.73646,7.42,False,None,0
4,4_scenario_2,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,7.983288,23.18258,10.7,False,None,0
4,4_scenario_3,A red Jeep is overtaking (near) the ego vehicle and switching lane.,4.720274,9.644774,7.739999999999999,False,None,0
4,4_scenario_4_npc_vehicle,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,0.25559,4.589773,12.26,True,npc_vehicle,8.371328284612193
