Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pedestrian is crossing the road from left to right.,100000.0,16.163501,6.199999999999999,False,None,0.0
0,0_scenario_1,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,16.591235,2.664758,4.08,False,None,0.0
0,0_scenario_2,A pink SchoolBus is crossing the road (near) and switching lane.,6.717878,5.153349,5.359999999999999,False,None,0.0
0,0_scenario_3,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.60721,7.470394,6.18,False,None,0.0
0,0_scenario_4,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,1.696854,16.992478,3.02,False,None,0.0
0,0_scenario_5,A pedestrian is crossing the road from left to right.,3.208808,8.299827,6.22,False,None,0.0
0,0_scenario_6,A skyblue Hatchback is driving from the opposite direction (far) and maintaining lane.,9.382671,13.899948,4.8,False,None,0.0
0,0_scenario_7,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,6.006364,13.02388,9.28,False,None,0.0
0,0_scenario_8,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,7.548601,10.914054,6.3,False,None,0.0
0,0_scenario_9,A red Hatchback is crossing the road (far) and switching lane.,100000.0,10.915899,0.0,False,None,0.0
0,0_scenario_10,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,100000.0,10.921931,0.0,False,None,0.0
0,0_scenario_11,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,10.926091,5.52,False,None,0.0
1,1_scenario_0,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,49.143673,5.619999999999999,False,None,0.0
1,1_scenario_1,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,10.209023,51.100193,0.78,False,None,0.0
1,1_scenario_2_obstacle,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,0.0,45.883941,2.88,True,obstacle,1.5775459215512349
2,2_scenario_0,A pedestrian is crossing the road from left to right.,100000.0,16.249153,5.84,False,None,0.0
2,2_scenario_1,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000.0,3.351618,4.6,False,None,0.0
2,2_scenario_2,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,2.784791,10.713266,6.540000000000001,False,None,0.0
2,2_scenario_3,A pedestrian is crossing the road from right to left.,12.20037,5.049973,7.74,False,None,0.0
2,2_scenario_4,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,1.721009,2.139951,8.48,False,None,0.0
2,2_scenario_5,A pedestrian is crossing the road from right to left.,100000.0,12.669467,5.5600000000000005,False,None,0.0
2,2_scenario_6,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,16.327801,6.46,False,None,0.0
2,2_scenario_7,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000.0,5.118445,6.76,False,None,0.0
2,2_scenario_8,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,5.081131,6.68,False,None,0.0
2,2_scenario_9,A skyblue SUV is crossing the road (far) and maintaining lane.,100000.0,20.579811,7.66,False,None,0.0
2,2_scenario_10,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,20.584301,0.0,False,None,0.0
3,3_scenario_0,A pedestrian is crossing the road from right to left.,100000.0,17.103133,8.219999999999999,False,None,0.0
3,3_scenario_1,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,2.001135,7.819999999999999,False,None,0.0
3,3_scenario_2,A pedestrian is crossing the road from left to right.,100000.0,2.184403,7.9,False,None,0.0
3,3_scenario_3,A yellow Sedan is crossing the road (far) and switching lane.,100000.0,2.463816,4.22,False,None,0.0
3,3_scenario_4,A pink SchoolBus is crossing the road (near) and switching lane.,100000.0,4.927682,2.42,False,None,0.0
3,3_scenario_5,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,10.199334,22.82505,5.58,False,None,0.0
3,3_scenario_6,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,1.728442,22.914808,3.1,False,None,0.0
3,3_scenario_7,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,5.140784,36.878808,7.04,False,None,0.0
3,3_scenario_8,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,0.66324,3.564859,7.28,False,None,0.0
3,3_scenario_9,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,2.607651,6.1686,1.14,False,None,0.0
3,3_scenario_10_npc_vehicle,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,4.866393,7.08,True,npc_vehicle,1.0901400540054589
4,4_scenario_0,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000.0,100000.0,3.24,False,None,0.0
4,4_scenario_1,A pedestrian is crossing the road from right to left.,100000.0,10.456248,10.2,False,None,0.0
4,4_scenario_2,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,3.266532,4.0,False,None,0.0
4,4_scenario_3,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,0.856013,5.10271,5.659999999999999,False,None,0.0
4,4_scenario_4,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,4.477224,34.486065,12.54,False,None,0.0
4,4_scenario_5,A pedestrian is crossing the road from left to right.,8.683785,38.0887,5.779999999999999,False,None,0.0
4,4_scenario_6,A pink BoxTruck is crossing the road (near) and switching lane.,2.347142,15.658896,15.36,False,None,0.0
4,4_scenario_7,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,3.353729,31.153769,16.74,False,None,0.0
4,4_scenario_8,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,2.733941,16.462301,9.4,False,None,0.0
4,4_scenario_9,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.881233,8.857368,5.62,False,None,0.0
4,4_scenario_10,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,2.341843,20.088843,6.02,False,None,0.0
4,4_scenario_11,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,2.646447,5.861566,5.24,False,None,0.0
4,4_scenario_12,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,2.613179,23.643143,4.36,False,None,0.0
4,4_scenario_13,A red Jeep is overtaking (near) the ego vehicle and switching lane.,2.476377,7.338566,4.66,False,None,0.0
4,4_scenario_14,A white Jeep is crossing the road (far) and maintaining lane.,0.642576,3.788232,6.96,False,None,0.0
5,5_scenario_0,A pedestrian is crossing the road from right to left.,100000.0,20.557754,7.12,False,None,0.0
5,5_scenario_1,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,13.949791,1.856512,10.02,False,None,0.0
5,5_scenario_2_npc_vehicle,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.0,3.876843,9.68,True,npc_vehicle,5.811190843183837
6,6_scenario_0,A pedestrian is crossing the road from right to left.,100000.0,20.677598,6.18,False,None,0.0
6,6_scenario_1,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,19.679763,2.129194,4.04,False,None,0.0
6,6_scenario_2,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.532573,5.178145,7.6,False,None,0.0
6,6_scenario_3,A pedestrian is crossing the road from left to right.,11.718752,4.84584,3.1,False,None,0.0
6,6_scenario_4_npc_vehicle,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,0.0,3.193769,2.48,True,npc_vehicle,4.757659747840416
6,6_scenario_0,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000.0,100000.0,5.02,False,None,0.0
7,7_scenario_0,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,50.581576,7.08,False,None,0.0
7,7_scenario_1,A white SchoolBus is crossing the road (far) and switching lane.,12.884265,53.719753,6.22,False,None,0.0
7,7_scenario_2,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.405966,4.937393,12.36,False,None,0.0
7,7_scenario_3,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,9.041999,8.2,False,None,0.0
7,7_scenario_4,A pedestrian is crossing the road from left to right.,5.261322,24.964949,4.9,False,None,0.0
7,7_scenario_5,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,2.441147,25.75548,5.34,False,None,0.0
7,7_scenario_6,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,100000.0,15.522115,9.76,False,None,0.0
7,7_scenario_7,A red BoxTruck is driving from the opposite direction (near) and maintaining lane.,100000.0,22.866533,2.8000000000000007,False,None,0.0
7,7_scenario_8,A red Hatchback is crossing the road (near) and switching lane.,100000.0,14.768799,3.08,False,None,0.0
8,8_scenario_0,A pedestrian is crossing the road from right to left.,100000.0,18.432335,7.26,False,None,0.0
8,8_scenario_1,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,100000.0,3.036526,2.04,False,None,0.0
8,8_scenario_2,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,100000.0,11.728547,4.300000000000001,False,None,0.0
8,8_scenario_3,A white SchoolBus is driving from the opposite direction (far) and switching lane.,3.08134,11.28695,2.76,False,None,0.0
8,8_scenario_4,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,1.778396,44.648328,2.48,False,None,0.0
8,8_scenario_5,A pedestrian is crossing the road from right to left.,4.275864,16.350535,9.08,False,None,0.0
8,8_scenario_6,A yellow SUV is driving from the opposite direction (near) and switching lane.,5.286633,4.986021,9.72,False,None,0.0
8,8_scenario_7,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,7.354087,2.938085,17.64,False,None,0.0
8,8_scenario_8,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,1.942781,5.768959,12.46,False,None,0.0
8,8_scenario_9,A pedestrian is crossing the road from left to right.,1.492515,9.571225,8.96,False,None,0.0
8,8_scenario_10,A red Hatchback is driving from the opposite direction (near) and switching lane.,3.4857,4.29965,10.84,False,None,0.0
8,8_scenario_11,A pedestrian is crossing the road from left to right.,2.509792,11.448849,5.7,False,None,0.0
8,8_scenario_12,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.29525,24.957423,5.5600000000000005,False,None,0.0
8,8_scenario_13,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,4.979401,7.334755,5.12,False,None,0.0
8,8_scenario_14,A pedestrian is crossing the road from left to right.,2.125172,6.610312,1.26,False,None,0.0
8,8_scenario_15_npc_vehicle,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,0.0,4.553388,4.94,True,npc_vehicle,0.836621562488254
9,9_scenario_0,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,50.5387,4.220000000000001,False,None,0.0
9,9_scenario_1,A red Hatchback is crossing the road (near) and switching lane.,100000.0,55.132444,2.26,False,None,0.0
9,9_scenario_2_npc_vehicle,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,0.0,3.265169,2.44,True,npc_vehicle,6.23540555742771
10,10_scenario_0,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,5.878559,15.369277,3.24,False,None,0.0
10,10_scenario_1,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000.0,29.136559,5.94,False,None,0.0
10,10_scenario_2,A red Hatchback is crossing the road (near) and switching lane.,100000.0,38.60398,4.76,False,None,0.0
10,10_scenario_3,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000.0,9.102504,3.32,False,None,0.0
