Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,22.661616,15.64844,6.24,False,None,0
0,0_scenario_1,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,3.629417,14.395407,4.02,False,None,0
0,0_scenario_2,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.354319,11.400631,5.96,False,None,0
0,0_scenario_3,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,19.322983,14.392698,4.92,False,None,0
0,0_scenario_4,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,24.22577,6.947898,0.48,False,None,0
0,0_scenario_5,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000,4.366506,13.86,False,None,0
0,0_scenario_6,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000,9.566171,6.06,False,None,0
0,0_scenario_7,A skyblue SUV is crossing the road (far) and maintaining lane.,100000,15.120193,0.9000000000000001,False,None,0
0,0_scenario_8,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,2.255784,11.2297,4.38,False,None,0
0,0_scenario_9,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,100000,10.800397,4.800000000000001,False,None,0
0,0_scenario_10,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,100000,10.558311,2.88,False,None,0
0,0_scenario_11,A yellow Jeep is driving from the opposite direction (far) and switching lane.,24.001431,10.410168,4.42,False,None,0
0,0_scenario_12,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,100000,8.222983,4.0600000000000005,False,None,0
0,0_scenario_13,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,100000,3.899885,5.52,False,None,0
1,1_scenario_0,A black SchoolBus is crossing the road (near) and maintaining lane.,100000,14.484941,2.5200000000000005,False,None,0
1,1_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,100000,16.867097,4.18,False,None,0
1,1_scenario_2,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,2.080103,19.092335,3.8,False,None,0
1,1_scenario_3,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000,11.239066,12.540000000000001,False,None,0
1,1_scenario_4,A yellow Jeep is driving from the opposite direction (far) and switching lane.,100000,20.958219,4.819999999999999,False,None,0
1,1_scenario_5,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,100000,20.027345,5.9399999999999995,False,None,0
1,1_scenario_6,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,9.545439,8.98,False,None,0
1,1_scenario_7,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,1.427439,4.094774,5.34,False,None,0
1,1_scenario_8,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,1.358276,6.947205,14.239999999999998,False,None,0
1,1_scenario_9,A yellow Hatchback is crossing the road (near) and maintaining lane.,2.660526,34.164408,0.31999999999999984,False,None,0
1,1_scenario_10,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,5.258533,4.318771,0.78,False,None,0
1,1_scenario_11,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,8.288518,3.786331,2.7,False,None,0
1,1_scenario_12,A white Hatchback is driving ahead (far) of the ego vehicle and switching lane.,100000,15.879253,2.6400000000000006,False,None,0
1,1_scenario_13,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,23.032197,13.401975,5.06,False,None,0
1,1_scenario_14,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000,4.230133,4.800000000000001,False,None,0
1,1_scenario_15,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,100000,8.075063,2.8400000000000003,False,None,0
1,1_scenario_16,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000,6.021366,0.8999999999999999,False,None,0
1,1_scenario_17,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,100000,12.128928,7.1,False,None,0
2,2_scenario_0,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,28.506611,3.0,False,None,0
2,2_scenario_1,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,10.071014,4.84,False,None,0
2,2_scenario_2,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,1.011101,9.205442,7.76,False,None,0
2,2_scenario_3,A yellow Sedan is driving from the opposite direction (near) and switching lane.,1.207718,9.874077,11.74,False,None,0
2,2_scenario_4,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000,12.901712,4.5600000000000005,False,None,0
2,2_scenario_5,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,5.292734,11.096444,0.3999999999999999,False,None,0
2,2_scenario_6,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,11.127411,15.24,False,None,0
2,2_scenario_7,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,100000,12.431822,12.5,False,None,0
2,2_scenario_8,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,100000,11.128908,0.6799999999999999,False,None,0
2,2_scenario_9,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,100000,11.113664,2.8400000000000003,False,None,0
2,2_scenario_10,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,11.08922,3.9400000000000004,False,None,0
2,2_scenario_11,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,4.072306,6.0,False,None,0
2,2_scenario_12,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,100000,7.130114,4.5,False,None,0
2,2_scenario_13,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,100000,11.090878,3.0999999999999996,False,None,0
2,2_scenario_14,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,11.086982,4.5200000000000005,False,None,0
2,2_scenario_15,A white SchoolBus is crossing the road (far) and switching lane.,100000,8.108904,1.96,False,None,0
2,2_scenario_16,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000,10.632511,5.96,False,None,0
2,2_scenario_17,A skyblue SUV is driving from the opposite direction (near) and maintaining lane.,100000,10.999864,5.34,False,None,0
3,3_scenario_0,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,4.257761,5.780000000000001,False,None,0
3,3_scenario_1,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,2.509445,8.668864,5.32,False,None,0
3,3_scenario_2,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,3.256299,10.167425,9.08,False,None,0
3,3_scenario_3,A pink SUV is driving from the opposite direction (far) and maintaining lane.,100000,12.304244,14.4,False,None,0
3,3_scenario_4,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,3.586943,22.490125,2.54,False,None,0
3,3_scenario_5,A pink BoxTruck is crossing the road (near) and switching lane.,2.306291,8.080643,0.6600000000000001,False,None,0
3,3_scenario_6,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,100000,8.69381,10.059999999999999,False,None,0
3,3_scenario_7,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,19.503652,3.8000000000000003,False,None,0
3,3_scenario_8,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,2.293694,4.10305,10.24,False,None,0
3,3_scenario_9,A white SchoolBus is driving from the opposite direction (far) and switching lane.,100000,3.778145,7.119999999999999,False,None,0
3,3_scenario_10,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,100000,5.561616,3.7199999999999998,False,None,0
3,3_scenario_11,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,100000,15.435651,2.1,False,None,0
3,3_scenario_12,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000,23.010073,0.86,False,None,0
3,3_scenario_13,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,100000,5.079388,3.24,False,None,0
3,3_scenario_14,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,100000,17.299075,4.54,False,None,0
3,3_scenario_15,A pink Sedan is driving from the opposite direction (far) and switching lane.,100000,49.993813,3.18,False,None,0
3,3_scenario_16,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,100000,3.179523,2.5,False,None,0
3,3_scenario_17,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,100000,8.176677,0.6000000000000001,False,None,0
3,3_scenario_18,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000,13.438617,6.72,False,None,0
4,4_scenario_0,A pink Hatchback is crossing the road (far) and maintaining lane.,100000,19.52485,3.6800000000000006,False,None,0
4,4_scenario_1,A white BoxTruck is overtaking (near) the ego vehicle and switching lane.,2.155794,4.946146,4.84,False,None,0
4,4_scenario_2_npc_vehicle,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,100000,2.646433,4.640000000000001,True,npc_vehicle,4.00198026678562
5,5_scenario_0,A red Jeep is overtaking (near) the ego vehicle and switching lane.,11.89182,8.736398,2.38,False,None,0
5,5_scenario_1,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,2.560789,12.175141,3.78,False,None,0
5,5_scenario_2,A black SchoolBus is crossing the road (near) and maintaining lane.,100000,9.862145,6.0,False,None,0
5,5_scenario_3,A white SchoolBus is driving from the opposite direction (far) and switching lane.,100000,11.793497,4.58,False,None,0
