Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red BoxTruck is driving from the opposite direction (far) and maintaining lane.,100000.0,8.295277,2.3599999999999994,False,None,0.0
0,0_scenario_1,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.325715,5.026631,9.56,False,None,0.0
0,0_scenario_2,A black SUV is crossing the road (near) and switching lane.,100000.0,11.708709,8.12,False,None,0.0
0,0_scenario_3,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,2.369312,16.761235,3.88,False,None,0.0
0,0_scenario_4,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,1.141962,16.739517,14.46,False,None,0.0
0,0_scenario_5,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,0.982491,15.391695,3.0600000000000005,False,None,0.0
0,0_scenario_6,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,9.721799,19.118865,0.4999999999999999,False,None,0.0
0,0_scenario_7,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,6.752333,36.606581,2.92,False,None,0.0
0,0_scenario_8,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,3.14426,4.215941,15.5,False,None,0.0
0,0_scenario_9,A white Jeep is crossing the road (far) and maintaining lane.,0.955377,11.855364,7.92,False,None,0.0
0,0_scenario_10,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,10.417015,3.307,5.74,False,None,0.0
0,0_scenario_11,A pedestrian is crossing the road from right to left.,0.944308,6.478306,4.42,False,None,0.0
0,0_scenario_12,A black Sedan is driving ahead (far) of the ego vehicle and maintaining lane.,5.761495,4.681389,2.96,False,None,0.0
0,0_scenario_13,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,3.314983,5.649658,0.98,False,None,0.0
0,0_scenario_14,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,3.029243,9.992644,6.96,False,None,0.0
0,0_scenario_15,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,4.32649,11.863175,7.18,False,None,0.0
1,1_scenario_0,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,12.528537,47.632822,2.94,False,None,0.0
1,1_scenario_1,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,0.782759,12.789489,0.5999999999999999,False,None,0.0
