Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,100000.0,3.495044,9.64,False,None,0
0,0_scenario_1,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,100000.0,26.987646,6.04,False,None,0
0,0_scenario_2,A white BoxTruck is driving from the opposite direction (far) and switching lane.,4.182585,11.861429,11.92,False,None,0
0,0_scenario_3,A yellow Sedan is crossing the road (far) and switching lane.,12.853991,11.203565,4.32,False,None,0
0,0_scenario_4,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,3.999147,28.76644,4.74,False,None,0
0,0_scenario_5,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,100000.0,3.470956,6.14,False,None,0
0,0_scenario_6,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,1.740867,9.664502,10.84,False,None,0
0,0_scenario_7,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,1.798781,29.328278,2.9,False,None,0
0,0_scenario_8,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,14.508403,32.968147,4.8,False,None,0
0,0_scenario_9,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,18.192457,5.995328,4.86,False,None,0
0,0_scenario_10,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,3.725441,3.64,False,None,0
0,0_scenario_11,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000.0,3.8476,0.92,False,None,0
0,0_scenario_12,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000.0,3.567791,4.64,False,None,0
1,1_scenario_0,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,35.161888,50.849468,4.82,False,None,0
1,1_scenario_1,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,1.547287,9.188944,8.26,False,None,0
1,1_scenario_2,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,100000.0,5.49597,1.8600000000000003,False,None,0
1,1_scenario_3,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,9.228463,5.525427,3.66,False,None,0
1,1_scenario_4,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,100000.0,7.271398,2.04,False,None,0
1,1_scenario_5,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,3.063267,9.388595,5.48,False,None,0
1,1_scenario_6,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,2.121883,9.561095,4.680000000000001,False,None,0
1,1_scenario_7,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.97288,8.712734,5.72,False,None,0
1,1_scenario_8,A white Hatchback is overtaking (far) the ego vehicle and maintaining lane.,0.698197,8.68481,5.3,False,None,0
1,1_scenario_9,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,2.376611,12.169515,5.84,False,None,0
1,1_scenario_10,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,10.967596,3.5200000000000005,False,None,0
1,1_scenario_11,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,14.212894,24.01806,3.5,False,None,0
1,1_scenario_12,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000.0,15.475126,3.84,False,None,0
1,1_scenario_13,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,100000.0,6.203411,0.86,False,None,0
1,1_scenario_14,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,100000.0,4.126533,4.92,False,None,0
2,2_scenario_0,A pink Hatchback is crossing the road (far) and maintaining lane.,5.664309,38.884465,5.2,False,None,0
2,2_scenario_1,A black SUV is crossing the road (near) and switching lane.,16.980944,12.66557,5.359999999999999,False,None,0
2,2_scenario_2,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,2.737495,35.649389,0.4199999999999999,False,None,0
2,2_scenario_3,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,0.683879,3.824179,11.24,False,None,0
2,2_scenario_4,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,3.17495,5.180317,4.16,False,None,0
