Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.518422,4.555984,4.62,False,None,0.0
0,0_scenario_1_npc_vehicle,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.0,3.688999,4.46,True,npc_vehicle,0.0435104256236368
1,1_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,4.166625,4.168951,5.24,False,None,0.0
1,1_scenario_1_npc_vehicle,A pink BoxTruck is crossing the road (near) and switching lane.,0.0,5.687167,1.7200000000000002,True,npc_vehicle,8.808689238679356
2,2_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,3.853343,4.369684,2.82,False,None,0.0
2,2_scenario_1_npc_vehicle,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.0,4.717264,6.16,True,npc_vehicle,0.0930615956629215
3,3_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,5.643086,3.840244,5.1,False,None,0.0
3,3_scenario_1_npc_vehicle,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,0.0,2.250228,1.66,True,npc_vehicle,9.26286026988748
4,4_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,4.753323,3.913645,2.66,False,None,0.0
4,4_scenario_1_npc_vehicle,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,0.0,3.616586,10.96,True,npc_vehicle,6.149185067234106
5,5_scenario_0,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,5.401467,3.83652,4.52,False,None,0.0
5,5_scenario_1_npc_vehicle,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,0.0,2.861495,8.12,True,npc_vehicle,6.679833735744772
6,6_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,100000.0,4.969068,3.4,False,None,0.0
6,6_scenario_1,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.825917,4.321655,16.98,False,None,0.0
6,6_scenario_2,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,2.088731,5.948274,11.74,False,None,0.0
6,6_scenario_3,A white Jeep is crossing the road (far) and maintaining lane.,2.09447,3.795899,6.359999999999999,False,None,0.0
6,6_scenario_4,A skyblue Sedan is driving ahead (near) of the ego vehicle and switching lane.,0.488308,5.656437,6.220000000000001,False,None,0.0
6,6_scenario_5,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,6.42535,5.649243,7.619999999999999,False,None,0.0
6,6_scenario_6,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,10.215114,4.166313,6.46,False,None,0.0
6,6_scenario_7,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,3.041145,9.462584,6.720000000000001,False,None,0.0
7,7_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.999672,4.439513,2.22,False,None,0.0
7,7_scenario_1,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.798941,4.347056,1.0200000000000002,False,None,0.0
7,7_scenario_2,A pedestrian is crossing the road from left to right.,100000.0,5.559692,2.68,False,None,0.0
7,7_scenario_3,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.97382,5.66401,14.76,False,None,0.0
7,7_scenario_4,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,100000.0,4.544138,5.699999999999999,False,None,0.0
7,7_scenario_5_npc_vehicle,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,5.080821,11.9,True,npc_vehicle,0.9312511745589972
8,8_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.756895,4.268113,4.3,False,None,0.0
8,8_scenario_1_npc_vehicle,A black SchoolBus is driving ahead (near) of the ego vehicle and maintaining lane.,0.0,5.53736,1.88,True,npc_vehicle,5.836631608866234
9,9_scenario_0,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,2.899779,4.298712,2.12,False,None,0.0
