Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,100000,12.85161,5.42,False,None,0
0,0_scenario_1,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,100000,15.816549,3.04,False,None,0
0,0_scenario_2,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000,29.746839,6.460000000000001,False,None,0
0,0_scenario_3,A yellow Sedan is driving from the opposite direction (near) and switching lane.,1.318018,9.88496,3.8000000000000003,False,None,0
0,0_scenario_4,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,1.269549,14.632967,2.88,False,None,0
0,0_scenario_5,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,100000,14.336825,5.9399999999999995,False,None,0
0,0_scenario_6,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,1.355112,15.865283,2.8,False,None,0
0,0_scenario_7,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,2.649892,19.076305,3.42,False,None,0
0,0_scenario_8,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,0.549428,6.597144,12.239999999999998,False,None,0
0,0_scenario_9,A red Hatchback is crossing the road (far) and switching lane.,100000,9.038371,6.9799999999999995,False,None,0
0,0_scenario_10,A skyblue Hatchback is driving ahead (far) of the ego vehicle and maintaining lane.,100000,8.954283,8.84,False,None,0
0,0_scenario_11,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000,9.886519,3.58,False,None,0
0,0_scenario_12,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,100000,9.553527,7.72,False,None,0
0,0_scenario_13,A pink Hatchback is driving from the opposite direction (far) and switching lane.,100000,3.564061,5.6000000000000005,False,None,0
0,0_scenario_14,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,100000,4.449902,2.98,False,None,0
0,0_scenario_15,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.788375,5.164658,3.3800000000000003,False,None,0
0,0_scenario_16,A white BoxTruck is overtaking (far) the ego vehicle and switching lane.,100000,8.002151,0.78,False,None,0
0,0_scenario_17,A white SUV is driving ahead (far) of the ego vehicle and switching lane.,100000,6.881433,6.38,False,None,0
1,1_scenario_0,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,100000,50.866131,5.66,False,None,0
1,1_scenario_1,A yellow Sedan is crossing the road (far) and switching lane.,100000,57.147111,0.31999999999999984,False,None,0
1,1_scenario_2,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.416261,4.656308,9.14,False,None,0
1,1_scenario_3,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,3.880728,4.084939,7.359999999999999,False,None,0
1,1_scenario_4,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,1.872523,3.696209,8.72,False,None,0
1,1_scenario_5,A skyblue SUV is crossing the road (far) and maintaining lane.,2.370252,14.763437,6.279999999999999,False,None,0
1,1_scenario_6,A yellow SUV is overtaking (far) the ego vehicle and switching lane.,2.397913,18.506424,1.7599999999999998,False,None,0
1,1_scenario_7,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,2.684532,34.706998,1.82,False,None,0
1,1_scenario_8,A black Hatchback is overtaking (near) the ego vehicle and switching lane.,8.699966,10.084839,2.12,False,None,0
1,1_scenario_9,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,2.131527,6.236845,4.359999999999999,False,None,0
1,1_scenario_10,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000,3.278994,4.92,False,None,0
1,1_scenario_11,A black Jeep is driving ahead (far) of the ego vehicle and switching lane.,100000,21.438626,3.3600000000000003,False,None,0
1,1_scenario_12,A yellow SchoolBus is overtaking (far) the ego vehicle and maintaining lane.,100000,7.963376,4.12,False,None,0
1,1_scenario_13,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,100000,4.591578,2.8,False,None,0
1,1_scenario_14,A red BoxTruck is driving ahead (far) of the ego vehicle and maintaining lane.,25.10852,6.195982,4.72,False,None,0
1,1_scenario_15,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,100000,3.580722,4.6,False,None,0
2,2_scenario_0,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000,16.345374,5.4,False,None,0
2,2_scenario_1,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,100000,23.916655,0.5199999999999999,False,None,0
2,2_scenario_2,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,100000,12.694261,10.14,False,None,0
2,2_scenario_3,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,100000,3.634726,2.68,False,None,0
2,2_scenario_4,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,3.600705,6.272554,15.52,False,None,0
2,2_scenario_5,A yellow SUV is driving from the opposite direction (near) and switching lane.,1.953856,10.21269,6.02,False,None,0
2,2_scenario_6,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,2.310706,7.361759,1.38,False,None,0
2,2_scenario_7,A pink SUV is driving from the opposite direction (far) and maintaining lane.,2.247483,8.092586,0.42000000000000015,False,None,0
2,2_scenario_8,A pink SchoolBus is crossing the road (near) and switching lane.,11.62797,8.009208,6.4,False,None,0
2,2_scenario_9,A black SchoolBus is crossing the road (far) and maintaining lane.,20.078217,10.820381,11.6,False,None,0
2,2_scenario_10,A white SchoolBus is crossing the road (far) and switching lane.,8.696512,15.328373,8.98,False,None,0
2,2_scenario_11,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,100000,11.044803,4.44,False,None,0
2,2_scenario_12,A pink Sedan is driving from the opposite direction (far) and switching lane.,12.3206,25.090594,3.58,False,None,0
2,2_scenario_13,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000,45.569319,0.98,False,None,0
2,2_scenario_14,A yellow SUV is overtaking (near) the ego vehicle and switching lane.,23.196657,6.633281,6.04,False,None,0
2,2_scenario_15,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,100000,22.070656,7.02,False,None,0
3,3_scenario_0,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,100000,12.840424,5.0,False,None,0
3,3_scenario_1,A pink SchoolBus is driving from the opposite direction (far) and maintaining lane.,7.518986,7.281637,3.88,False,None,0
3,3_scenario_2,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,100000,14.744661,3.02,False,None,0
3,3_scenario_3,A black Sedan is driving ahead (near) of the ego vehicle and maintaining lane.,0.516056,6.14912,5.200000000000001,False,None,0
3,3_scenario_4,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,0.899241,3.870564,10.559999999999999,False,None,0
