Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A red Hatchback is crossing the road (near) and switching lane.,100000,15.355986,2.4800000000000004,False,None,0
0,0_scenario_1,A pink Jeep is crossing the road (near) and switching lane.,100000,10.04526,6.460000000000001,False,None,0
0,0_scenario_2,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,1.937948,10.186919,5.1,False,None,0
0,0_scenario_3,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,3.416174,10.806284,5.46,False,None,0
0,0_scenario_4,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,1.778213,6.667554,7.98,False,None,0
0,0_scenario_5,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,12.400649,8.65712,4.34,False,None,0
0,0_scenario_6,A white SchoolBus is driving ahead (near) of the ego vehicle and switching lane.,24.613703,7.951481,7.779999999999999,False,None,0
0,0_scenario_7,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,2.100016,8.223946,9.26,False,None,0
0,0_scenario_8,A red Hatchback is crossing the road (far) and switching lane.,2.44426,12.035821,1.0,False,None,0
0,0_scenario_9,A yellow BoxTruck is overtaking (far) the ego vehicle and maintaining lane.,5.210896,12.742451,0.76,False,None,0
0,0_scenario_10,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,8.082267,11.194786,4.5,False,None,0
0,0_scenario_11,A red BoxTruck is driving ahead (far) of the ego vehicle and switching lane.,6.207028,11.067923,6.359999999999999,False,None,0
0,0_scenario_12,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,7.875145,8.862067,2.96,False,None,0
0,0_scenario_13,A white SchoolBus is driving ahead (far) of the ego vehicle and maintaining lane.,0.523872,4.185556,5.96,False,None,0
0,0_scenario_14,A pink Hatchback is driving from the opposite direction (far) and switching lane.,1.724563,11.074533,3.84,False,None,0
0,0_scenario_15,A yellow SchoolBus is driving from the opposite direction (near) and switching lane.,1.924533,11.076821,3.08,False,None,0
0,0_scenario_16,A yellow Hatchback is driving ahead (near) of the ego vehicle and maintaining lane.,2.159446,11.028085,1.18,False,None,0
1,1_scenario_0,A red Jeep is overtaking (near) the ego vehicle and switching lane.,100000,8.282927,3.08,False,None,0
1,1_scenario_1,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,5.808215,3.469802,4.52,False,None,0
1,1_scenario_2,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,0.784507,5.603833,7.66,False,None,0
1,1_scenario_3,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,4.607182,12.543509,7.640000000000001,False,None,0
1,1_scenario_4,A skyblue SchoolBus is driving ahead (far) of the ego vehicle and switching lane.,12.0322,10.784126,4.2,False,None,0
1,1_scenario_5,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,11.304515,4.210189,1.34,False,None,0
1,1_scenario_6,A skyblue Sedan is overtaking (far) the ego vehicle and switching lane.,2.231418,4.024934,0.6,False,None,0
1,1_scenario_7,A pink Sedan is driving from the opposite direction (far) and maintaining lane.,6.607327,9.55225,0.86,False,None,0
1,1_scenario_8,A pink Sedan is driving from the opposite direction (far) and switching lane.,8.317345,8.865887,0.5199999999999999,False,None,0
1,1_scenario_9,A yellow Jeep is driving from the opposite direction (far) and switching lane.,6.583945,8.79452,1.04,False,None,0
1,1_scenario_10,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,6.419839,8.780642,5.9399999999999995,False,None,0
1,1_scenario_11,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,2.881473,8.803996,2.52,False,None,0
1,1_scenario_12,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,3.844487,8.79953,3.24,False,None,0
1,1_scenario_13,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,8.47338,3.919394,4.52,False,None,0
1,1_scenario_14,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,1.763709,8.768622,3.4399999999999995,False,None,0
1,1_scenario_15,A red SUV is driving ahead (near) of the ego vehicle and switching lane.,1.802783,8.76926,1.18,False,None,0
1,1_scenario_16,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,3.618848,8.772095,4.82,False,None,0
1,1_scenario_17,A yellow Hatchback is overtaking (far) the ego vehicle and switching lane.,2.054875,8.685197,7.04,False,None,0
2,2_scenario_0,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,1.638469,7.081112,1.08,False,None,0
2,2_scenario_1,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,1.912663,6.771873,6.26,False,None,0
2,2_scenario_2,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,2.099861,9.499585,3.0,False,None,0
2,2_scenario_3,A pink Sedan is driving from the opposite direction (far) and switching lane.,1.033927,10.215109,2.4400000000000004,False,None,0
2,2_scenario_4,A black SchoolBus is crossing the road (near) and maintaining lane.,1.073218,10.991723,7.5200000000000005,False,None,0
2,2_scenario_5,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,19.456223,17.444752,4.279999999999999,False,None,0
