Execution,ScenarioID,Configuration_API_Description,Attribute[TTC],Attribute[DTO],Attribute[Jerk],Attribute[COL],Attribute[COLT],Attribute[SAC]
0,0_scenario_0,A pink SchoolBus is crossing the road (near) and switching lane.,100000,15.559872,5.64,False,None,0
0,0_scenario_1,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.280095,6.381357,6.4399999999999995,False,None,0
0,0_scenario_2,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,1.66629,4.363669,6.1,False,None,0
0,0_scenario_3,A pink BoxTruck is driving ahead (near) of the ego vehicle and maintaining lane.,100000,11.279019,10.7,False,None,0
0,0_scenario_4,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,6.39299,12.930357,6.260000000000001,False,None,0
0,0_scenario_5,A skyblue Jeep is overtaking (far) the ego vehicle and switching lane.,100000,25.303732,6.18,False,None,0
0,0_scenario_6,A yellow Sedan is overtaking (near) the ego vehicle and switching lane.,100000,4.428029,7.42,False,None,0
0,0_scenario_7,A yellow Hatchback is overtaking (near) the ego vehicle and maintaining lane.,5.125822,5.460868,6.840000000000001,False,None,0
1,1_scenario_0,A red SUV is driving ahead (far) of the ego vehicle and maintaining lane.,100000,43.051637,4.74,False,None,0
1,1_scenario_1,A pink Jeep is driving ahead (far) of the ego vehicle and maintaining lane.,3.548957,29.312232,6.26,False,None,0
1,1_scenario_2,A black Jeep is driving ahead (near) of the ego vehicle and switching lane.,1.57712,16.646073,3.9199999999999995,False,None,0
1,1_scenario_3,A black SchoolBus is overtaking (near) the ego vehicle and maintaining lane.,100000,6.759495,0.0,False,None,0
1,1_scenario_4,A skyblue Jeep is driving from the opposite direction (far) and maintaining lane.,100000,3.347973,0.0,False,None,0
1,1_scenario_5,A pedestrian is crossing the road from left to right.,100000,7.013917,0.0,False,None,0
1,1_scenario_6,A pedestrian is crossing the road from left to right.,100000,7.013983,0.0,False,None,0
1,1_scenario_7,A pedestrian is crossing the road from left to right.,100000,7.013983,0.0,False,None,0
1,1_scenario_8,A pedestrian is crossing the road from left to right.,100000,7.013983,0.0,False,None,0
2,2_scenario_0,A red SchoolBus is overtaking (far) the ego vehicle and switching lane.,100000,30.097127,1.96,False,None,0
2,2_scenario_1,A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,0.434206,7.071423,4.2,True,npc_vehicle,8.06364866748083
3,3_scenario_0,A red SchoolBus is overtaking (near) the ego vehicle and switching lane.,100000,8.323162,5.44,False,None,0
3,3_scenario_1,A black SchoolBus is crossing the road (near) and maintaining lane.,1.283481,5.025465,7.4399999999999995,False,None,0
3,3_scenario_2,A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,1.453671,18.918078,8.76,False,None,0
3,3_scenario_3,A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,100000,11.383852,4.26,False,None,0
3,3_scenario_4,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,2.594602,14.613688,2.0,False,None,0
3,3_scenario_5,A black Jeep is overtaking (near) the ego vehicle and maintaining lane.,1.018153,8.128221,7.819999999999999,False,None,0
3,3_scenario_6,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,9.643076,8.274704,12.200000000000001,False,None,0
3,3_scenario_7,A pink Sedan is driving from the opposite direction (near) and maintaining lane.,2.066433,10.413009,5.38,False,None,0
3,3_scenario_8,A pink SUV is overtaking (far) the ego vehicle and maintaining lane.,2.001731,13.178521,3.36,False,None,0
3,3_scenario_9,A pink Hatchback is driving ahead (near) of the ego vehicle and switching lane.,0.721684,2.752239,7.5600000000000005,True,npc_vehicle,6.135848912635657
4,4_scenario_0,A pink Sedan is driving from the opposite direction (far) and maintaining lane.,4.866307,43.648976,7.26,False,None,0
4,4_scenario_1,A yellow Sedan is overtaking (far) the ego vehicle and maintaining lane.,3.680737,26.76086,6.260000000000001,False,None,0
4,4_scenario_2,A black Jeep is overtaking (far) the ego vehicle and maintaining lane.,1.372108,5.683781,3.16,False,None,0
4,4_scenario_3,A pedestrian is crossing the road from left to right.,100000,18.27437,0.0,False,None,0
4,4_scenario_4,A pedestrian is crossing the road from left to right.,74.717268,18.275144,0.0,False,None,0
4,4_scenario_5,A pedestrian is crossing the road from left to right.,100000,18.275135,0.0,False,None,0
4,4_scenario_6,A pedestrian is crossing the road from left to right.,100000,18.275048,0.0,False,None,0
4,4_scenario_7,A pedestrian is crossing the road from left to right.,100000,18.275048,0.0,False,None,0
5,5_scenario_0,A red SchoolBus is driving from the opposite direction (near) and maintaining lane.,2.385555,20.513355,5.28,False,None,0
5,5_scenario_1,A red Sedan is overtaking (near) the ego vehicle and maintaining lane.,0.890895,3.902462,4.8,False,None,0
5,5_scenario_2,A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,0.663786,11.165389,11.5,False,None,0
5,5_scenario_3,A black SchoolBus is crossing the road (far) and maintaining lane.,2.77304,34.407676,10.48,False,None,0
5,5_scenario_4,A red BoxTruck is overtaking (near) the ego vehicle and maintaining lane.,0.400352,12.694373,6.16,False,None,0
